"电影名","年份","国别"
"沙丘2 / Dune: Part Two","2024","美国 / 加拿大"
"极盗车神 / Baby Driver","2017","英国 / 美国"
"猎杀U-571 / U-571","2000","法国 / 美国"
"绿夜","2023","中国香港"
"赛末点 / Match Point","2005","英国 / 美国 / 爱尔兰 / 卢森堡"
"周处除三害 / 周處除三害","2023","中国台湾"
"日落大道 / Sunset Blvd.","1950","美国"
"可怜的东西 / Poor Things","2023","爱尔兰 / 英国 / 美国 / 匈牙利"
"狂怒 / Fury","2014","美国 / 中国大陆 / 英国"
"纽约的一个雨天 / A Rainy Day in New York","2019","美国"
"海扁王 / Kick-Ass","2010","美国 / 英国"
"蓝眼武士 第一季 / Blue Eye Samurai Season 1","2023","美国 / 法国 / 加拿大"
"美国X档案 / American History X","1998","美国"
"罗斯玛丽的婴儿 / Rosemary's Baby","1968","美国"
"没有面孔的眼睛 / Les yeux sans visage","1960","法国 / 意大利"
"一天 / One Day","2011","美国 / 英国"
"夜行者 / Nightcrawler","2014","美国"
"一封陌生女子的来信 / Letter from an Unknown Woman","1948","美国"
"黑洞频率 / Frequency","2000","美国"
"神话 / Phenomena","1985","意大利 / 瑞士"
"飞驰人生2","2024","中国大陆"
"小孩儿 / Kiddo","2023","荷兰"
"幸福终点站 / The Terminal","2004","美国"
"三大队","2023","中国大陆"
"雨人 / Rain Man","1988","美国"
"阴风阵阵 / Suspiria","1977","意大利"
"贫民窟的百万富翁 / Slumdog Millionaire","2008","英国"
"阳光下的罪恶 / Evil Under the Sun","1982","英国"
"图腾 / Tótem","2023","墨西哥 / 丹麦 / 法国"
"豹 / Il gattopardo","1963","意大利 / 法国"
"灰猎犬号 / Greyhound","2020","美国 / 加拿大 / 中国大陆"
"爱，简单 / Hoje Eu Quero Voltar Sozinho","2014","巴西"
"法兰西特派 / The French Dispatch","2021","美国 / 德国"
"无依之地 / Nomadland","2020","美国"
"博很恐惧 / Beau is Afraid","2023","美国 / 英国 / 芬兰 / 加拿大"
"东方快车谋杀案 / Murder on the Orient Express","1974","英国"
"此房是我造 / The House That Jack Built","2018","丹麦 / 法国 / 瑞典 / 德国 / 比利时 / 突尼斯"
"网络谜踪2 / Missing","2023","美国"
"保你平安","2022","中国大陆"
"狗神 / DogMan","2023","法国 / 美国"
"深渊 / The Abyss","1989","美国"
"吾栖之肤 / La piel que habito","2011","西班牙 / 美国"
"怪物少女妮莫娜 / Nimona","2023","美国"
"鬼入侵 / The Haunting of Hill House","2018","美国"
"汤姆的农场旅行 / Tom à la Ferme","2013","加拿大 / 法国"
"厄舍府的崩塌 / The Fall of the House of Usher","2023","美国"
"谁先爱上他的 / 誰先愛上他的","2018","中国台湾"
"孤儿怨 / Orphan","2009","美国 / 加拿大 / 德国 / 法国"
"淡蓝之眸 / The Pale Blue Eye","2022","美国"
"绿光 / Le rayon vert","1986","法国"
"金的音像店 / Kim's Video","2023","美国 / 意大利"
"帝王计划：怪兽遗产 第一季 / Monarch: Legacy of Monsters Season 1","2023","美国 / 日本"
"歌剧魅影 / The Phantom of the Opera","2004","英国 / 美国"
"罗马，不设防的城市 / Roma, città aperta","1945","意大利"
"芬奇 / Finch","2021","美国"
"少数派报告 / Minority Report","2002","美国"
"南海十三郎","1997","中国香港"
"两万种蜜蜂 / 20.000 especies de abejas","2023","西班牙"
"瓦尔特保卫萨拉热窝 / Валтер брани Сарајево","1972","南斯拉夫"
"忍者神龟：变种大乱斗 / Teenage Mutant Ninja Turtles: Mutant Mayhem","2023","美国"
"猎凶风河谷 / Wind River","2017","英国 / 加拿大 / 美国"
"温柔壳","2023","中国大陆"
"巴顿将军 / Patton","1970","美国"
"新桥恋人 / Les amants du Pont-Neuf","1991","法国"
"套装 / The Outfit","2022","美国"
"瓶装火箭 / Bottle Rocket","1996","美国"
"弗兰克 / Frank","2014","英国 / 爱尔兰 / 美国"
"死亡幻觉 / Donnie Darko","2001","美国"
"我自己的爱达荷 / My Own Private Idaho","1991","美国"
"萨特本 / Saltburn","2023","美国 / 英国"
"阳光普照 / 陽光普照","2019","中国台湾"
"何以为家 / كفرناحوم","2018","黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国"
"穆赫兰道 / Mulholland Dr.","2001","法国 / 美国"
"正义回廊 / 正義迴廊","2022","中国香港"
"咒术回战 第二季 / 呪術廻戦 第2期","2023","日本"
"西线无战事 / All Quiet on the Western Front","1930","美国"
"椒麻堂会","2021","中国香港 / 法国"
"海王2：失落的王国 / Aquaman and the Lost Kingdom","2023","美国"
"狂人皮埃罗 / Pierrot le fou","1965","法国 / 意大利"
"推手","1991","中国台湾 / 美国"
"超时空接触 / Contact","1997","美国"
"名侦探柯南：黑铁的鱼影 / 名探偵コナン 黒鉄の魚影","2023","日本"
"诺丁山 / Notting Hill","1999","英国 / 美国"
"西雅图未眠夜 / Sleepless in Seattle","1993","美国"
"萨利机长 / Sully","2016","美国"
"两小无猜 / Jeux d'enfants","2003","法国 / 比利时"
"记住 / Remember","2015","加拿大 / 墨西哥 / 德国 / 南非"
"燃冬","2023","中国大陆"
"花月杀手 / Killers of the Flower Moon","2023","美国"
"私恋失调 / Punch-Drunk Love","2002","美国"
"拿破仑 / Napoleon","2023","英国 / 美国"
"非常嫌疑犯 / The Usual Suspects","1995","德国 / 美国"
