"电影名","年份","国别"
"猫鼠游戏 / Catch Me If You Can","2002","美国 / 加拿大"
"星际特工：千星之城 / Valérian and the City of a Thousand Planets","2017","法国 / 中国大陆 / 比利时 / 德国 / 阿联酋 / 美国 / 加拿大 / 新西兰 / 新加坡 / 英国 / 泰国"
"澳门风云3 / 賭城風雲III","2016","中国香港 / 中国大陆"
"澳门风云 / 賭城風雲","2014","中国大陆 / 中国香港"
"澳门风云2 / 賭城風雲II","2015","中国香港 / 中国大陆"
"十二生肖","2012","中国大陆 / 中国香港"
"新世界","2020","中国大陆"
"南方车站的聚会","2019","中国大陆 / 法国"
"我不是药神","2018","中国大陆"
"熊出没之夺宝熊兵","2014","中国大陆"
"斯巴达300勇士 / 300","2006","美国"
"机器人9号 / 9","2009","美国"
"雄狮少年","2021","中国大陆"
"智能大反攻 / The Mitchells vs. The Machines","2021","美国 / 加拿大 / 中国香港"
"移动迷宫3：死亡解药 / Maze Runner: The Death Cure","2018","美国"
"黑暗正义联盟 / Justice League Dark","2017","美国"
"乐高大电影2 / The Lego Movie 2: The Second Part","2019","美国 / 澳大利亚 / 挪威 / 丹麦"
"超级大坏蛋 / Megamind","2010","美国"
"老雷斯的故事 / The Lorax","2012","美国 / 法国"
"51号星球 / Planet 51","2009","西班牙 / 英国 / 美国"
"豚鼠特攻队 / G-Force","2009","美国"
"丛林大反攻2 / Open Season 2","2008","美国"
"丛林大反攻 / Open Season","2006","美国"
"丛林大反攻3 / Open Season 3","2010","美国"
"丛林有情狼 / Alpha and Omega","2010","美国 / 印度 / 加拿大"
"快乐的大脚2 / Happy Feet Two","2011","澳大利亚 / 美国"
"恐惧街3 / Fear Street 3","2021","美国"
"恐惧街2 / Fear Street 2","2021","美国"
"忌日快乐 / Happy Death Day","2017","美国"
"城堡岩 第一季 / Castle Rock Season 1","2018","美国"
"大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒","1995","中国香港 / 中国大陆"
"怒火·重案 / 怒火","2021","中国香港 / 中国大陆"
"误杀2","2021","中国大陆"
"恐惧街 / Fear Street","2021","美国"
"万万没想到","2015","中国大陆"
"大闹天竺","2017","中国大陆"
"美人鱼","2016","中国大陆 / 中国香港"
"唐人街探案","2020","中国大陆"
"西虹市首富","2018","中国大陆"
"扬名立万","2021","中国大陆"
"少年的你","2019","中国大陆 / 中国香港"
"黄金大劫案","2012","中国大陆"
"缝纫机乐队","2017","中国大陆"
"铁道英雄","2021","中国大陆"
"大黄蜂 / Bumblebee","2018","美国 / 中国大陆"
"雷霆沙赞！ / Shazam!","2019","美国 / 加拿大"
"精灵旅社4：变身大冒险 / Hotel Transylvania 4: Transformania","2022","美国"
"欢乐好声音2 / Sing 2","2021","美国"
"永恒族 / Eternals","2021","美国"
"蜘蛛侠：英雄无归 / Spider-Man: No Way Home","2021","美国"
"湮灭 / Annihilation","2018","美国 / 英国"
"古董局中局","2021","中国大陆 / 中国香港"
"哥斯拉大战金刚 / Godzilla vs Kong","2021","美国"
"明日之战 / The Tomorrow War","2021","美国"
"铁血战士 / The Predator","2018","美国 / 加拿大"
"全球风暴 / Geostorm","2017","美国"
"巨齿鲨 / The Meg","2018","美国 / 中国大陆 / 中国香港"
"狂暴巨兽 / Rampage","2018","美国"
"金刚：骷髅岛 / Kong: Skull Island","2017","美国 / 中国大陆"
"忍者神龟2：破影而出 / Teenage Mutant Ninja Turtles: Out of the Shadows","2016","美国 / 中国香港 / 中国大陆 / 加拿大 / 丹麦 / 德国 / 英国"
"环太平洋：雷霆再起 / Pacific Rim: Uprising","2018","英国 / 中国大陆 / 日本 / 美国 / 墨西哥"
"变形金刚5：最后的骑士 / Transformers: The Last Knight","2017","美国 / 中国大陆 / 加拿大"
"神奇女侠 / Wonder Woman","2017","美国 / 中国大陆 / 中国香港"
"超凡蜘蛛侠2 / The Amazing Spider-Man 2","2014","美国"
"飞行家 / The Aviator","2004","美国 / 德国"
"了不起的狐狸爸爸 / Fantastic Mr. Fox","2009","美国"
"仲夏夜魔法 / Strange Magic","2015","美国"
"怪兽在巴黎 / Un monstre à Paris","2011","法国"
"钢铁侠3 / Iron Man 3","2013","美国 / 中国大陆"
"喜羊羊与灰太狼之虎虎生威","2010","中国大陆"
"独立日2：卷土重来 / Independence Day: Resurgence","2016","美国"
"超能敢死队 / Ghostbusters: Afterlife","2021","加拿大 / 美国"
"神奇女侠1984 / Wonder Woman 1984","2020","美国 / 英国 / 西班牙"
"小丑回魂2 / It: Chapter Two","2019","加拿大 / 美国"
"小丑回魂 / It","2017","美国 / 加拿大"
"飞出个未来 第一季 / Futurama Season 1","1999","美国"
"马男波杰克 第一季 / BoJack Horseman Season 1","2014","美国"
"氰化欢乐秀 第四季 / The Cyanide and Happiness Show Season 4","2019","美国"
"莫蒂法官：佐治亚州诉瑞克·阿伦 / Judge Morty: State of Georgia Vs. Rick Allen","2016","美国"
"外星也难民：圣诞特别篇 / A Very Solar Holiday Opposites Special","2021","美国"
"奇门遁甲","2017","中国大陆 / 中国香港"
"攀登者","2019","中国大陆"
"长津湖","2021","中国大陆 / 中国香港"
"爱与怪物 / Love and Monsters","2020","美国 / 加拿大"
"老炮儿","2015","中国大陆"
"刺杀小说家","2021","中国大陆"
"悬崖之上","2021","中国大陆 / 中国香港"
"不要抬头 / Don't Look Up","2021","美国"
"唐人街探案3","2021","中国大陆 / 中国香港 / 日本"
"洛基 第一季 / Loki Season 1","2021","美国"
"旺达幻视 / WandaVision","2021","美国"
"麦兜·饭宝奇兵","2016","中国大陆 / 中国香港"
"麦兜·我和我妈妈 / 麥兜‧我和我媽媽","2014","中国香港 / 中国大陆"
"麦兜·当当伴我心 / 麥兜‧噹噹伴我心","2012","中国大陆 / 中国香港"
"西游伏妖篇","2017","中国大陆 / 中国香港"
"怪诞小镇迷你剧 第一季 / Gravity Falls Shorts Season 1","2013","美国"
"怪诞小镇迷你剧 第二季 / Gravity Falls Shorts Season 2","2014","美国"
"怪诞小镇迷你剧 第三季 / Gravity Falls Shorts Season 3","2014","美国"
"怪诞小镇迷你剧 第四季 / Gravity Falls Shorts Season 4","2014","美国"
"怪诞小镇迷你剧 第五季 / Gravity Falls Shorts Season 5","2014","美国"
"怪诞小镇特别篇：松林之间 / Gravity Falls: Between the Pines","2016","美国"
"误杀","2019","中国大陆"
"飞哥与小佛 第一季 / Phineas and Ferb Season 1","2007","美国"
"氰化欢乐秀 第二季 / The Cyanide and Happiness Show Season 2","2015","美国"
"氰化欢乐秀 第三季 / Cyanide and Happiness Show Season 3","2017","美国"
"腌黄瓜先生 第四季 / Mr. Pickles Season 4","2019","美国"
"阴谋职场 第一季 / Inside Job Season 1","2021","美国"
"安德的游戏 / Ender's Game","2013","美国"
"小鬼当家2 / Home Alone 2: Lost in New York","1992","美国"
"无辜者 / De uskyldige","2021","挪威 / 瑞典 / 丹麦 / 芬兰 / 法国 / 英国"
"007：无暇赴死 / No Time to Die","2021","英国 / 美国"
"红色通缉令 / Red Notice","2021","美国"
"唐人街探案2","2018","中国大陆"
"但丁密码 / Inferno","2016","美国 / 匈牙利"
"幽冥 / Spectral","2016","美国"
"尚气与十环传奇 / Shang-Chi and the Legend of the Ten Rings","2021","美国 / 澳大利亚"
"特种部队：蛇眼起源 / Snake Eyes: G.I. Joe Origins","2021","加拿大 / 美国"
"毒液2 / Venom: Let There Be Carnage","2021","美国 / 中国大陆"
"天才枪手 / ฉลาดเกมส์โกง","2017","泰国"
"魔兽 / Warcraft","2016","美国 / 中国大陆 / 加拿大 / 日本"
"四大名捕2","2013","中国大陆 / 中国香港"
"四大名捕","2012","中国大陆"
"沙丘 / Dune","2021","美国"
"超体 / Lucy","2014","法国 / 德国 / 中国台湾 / 加拿大 / 美国 / 英国"
"绣春刀II：修罗战场","2017","中国大陆"
"绣春刀","2014","中国大陆"
"杀戮都市：O / GANTZ:O","2016","日本"
"我和我的祖国","2019","中国大陆"
"哆啦A梦：伴我同行2 / STAND BY ME ドラえもん2","2020","日本"
"熊出没·狂野大陆","2020","中国大陆"
"妙先生","2020","中国大陆"
"新神榜：哪吒重生","2021","中国大陆"
"白蛇2：青蛇劫起","2021","中国大陆"
"奇迹男孩 / Wonder","2017","美国 / 中国香港"
"动物世界","2018","中国大陆"
"红海行动","2018","中国大陆 / 中国香港"
"绿灯侠 / Green Lantern","2011","美国"
"烈日灼心","2015","中国大陆"
"变形金刚4：绝迹重生 / Transformers: Age of Extinction","2014","美国 / 中国大陆 / 中国香港"
"变形金刚3 / Transformers: Dark of the Moon","2011","美国"
"变形金刚2 / Transformers: Revenge of the Fallen","2009","美国"
"乐高蝙蝠侠大电影 / The Lego Batman Movie","2017","美国 / 丹麦 / 澳大利亚"
"小羊肖恩 / Shaun the Sheep Movie","2015","英国 / 法国"
"湄公河行动","2016","中国大陆 / 中国香港"
"哆啦A梦：伴我同行 / STAND BY ME ドラえもん","2014","日本"
"僵尸新娘 / Corpse Bride","2005","美国 / 英国"
"惊天魔盗团 / Now You See Me","2013","美国 / 法国"
"霸王别姬","1993","中国大陆 / 中国香港"
"神秘代码 / Knowing","2009","美国 / 英国 / 澳大利亚"
"中国机长","2019","中国大陆"
"西游记之大圣归来","2015","中国大陆"
"年兽大作战","2016","中国大陆"
"阿唐奇遇","2017","中国大陆"
"小门神","2016","中国大陆"
"熊出没·奇幻空间","2017","中国大陆"
"桂宝之爆笑闯宇宙","2015","中国大陆 / 中国香港"
"小悟空","2018","中国大陆 / 中国香港"
"豆福传","2017","中国大陆"
"昆塔：反转星球","2017","中国大陆"
"昆塔：盒子总动员","2013","中国大陆"
"神秘世界历险记","2012","中国大陆"
"熊出没之雪岭熊风","2015","中国大陆"
"女王的柯基 / The Queen's Corgi","2019","比利时 / 美国"
"爱宠大机密2 / The Secret Life of Pets 2","2019","美国"
"刺猬索尼克 / Sonic the Hedgehog","2020","加拿大 / 日本 / 美国"
"大侦探皮卡丘 / Pokémon Detective Pikachu","2019","美国 / 日本 / 英国 / 加拿大"
"愤怒的小鸟2 / The Angry Birds Movie 2","2019","芬兰 / 美国"
"宝贝老板2 / The Boss Baby: Family Business","2021","美国"
"禁闭岛 / Shutter Island","2010","美国"
"忠犬八公的故事 / Hachi: A Dog's Tale","2009","美国 / 英国"
"失控玩家 / Free Guy","2021","美国 / 加拿大"
"初来乍到 第一季 / Fresh Off The Boat Season 1","2015","美国"
"降世神通 第一季 / Avatar: The Last Airbender Season 1","2005","美国"
"正义联盟 / Justice League","2017","美国"
"猩球崛起3：终极之战 / War for the Planet of the Apes","2017","美国"
"地狱男爵：血皇后崛起 / Hellboy","2019","美国"
"地狱男爵 / Hellboy","2004","美国"
"地狱男爵2：黄金军团 / Hellboy 2: The Golden Army","2008","美国"
"加勒比海盗5：死无对证 / Pirates of the Caribbean: Dead Men Tell No Tales","2017","美国"
"人类之子 / Children of Men","2006","美国 / 英国 / 日本 / 墨西哥"
"2012","2009","美国 / 加拿大"
"哥斯拉2：怪兽之王 / Godzilla: King of the Monsters","2019","美国 / 日本 / 中国大陆"
"流浪地球","2019","中国大陆"
"人在囧途","2010","中国大陆"
"平行森林","2019","中国大陆"
"加勒比海盗4：惊涛怪浪 / Pirates of the Caribbean: On Stranger Tides","2011","美国"
"达·芬奇密码 / The Da Vinci Code","2006","美国 / 马耳他 / 法国 / 英国"
"魔弦传说 / Kubo and the Two Strings","2016","美国"
"逃出克隆岛 / The Island","2005","美国"
"王牌贱谍：格林斯比 / The Brothers Grimsby","2016","英国 / 美国"
"惊天魔盗团2 / Now You See Me 2","2016","美国"
"自杀小队 / Suicide Squad","2016","美国"
"海洋之歌 / Song of the Sea","2014","爱尔兰 / 丹麦 / 比利时 / 卢森堡 / 法国"
"星球大战外传：侠盗一号 / Rogue One: A Star Wars Story","2016","美国"
"帕丁顿熊 / Paddington","2014","英国 / 法国"
"犬之岛 / Isle of Dogs","2018","德国 / 日本 / 美国 / 英国"
"乐高大电影 / The Lego Movie","2014","美国 / 澳大利亚 / 丹麦"
"驴得水","2016","中国大陆"
"小王子 / Le Petit Prince","2015","法国"
"蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse","2018","美国"
"当幸福来敲门 / The Pursuit of Happyness","2006","美国"
"加勒比海盗3：世界的尽头 / Pirates of the Caribbean: At World's End","2007","美国"
"怦然心动 / Flipped","2010","美国"
"神奇四侠2015 / Fantastic Four","2015","美国 / 英国 / 德国"
"加勒比海盗2：亡灵的宝藏 / Pirates of the Caribbean: Dead Man's Chest","2006","美国"
"憨豆特工3 / Johnny English Strikes Again","2018","法国 / 美国 / 英国"
"勇敢者游戏：决战丛林 / Jumanji: Welcome to the Jungle","2017","美国 / 印度 / 加拿大 / 英国 / 澳大利亚 / 德国"
"机械心 / Jack et la mécanique du coeur","2013","法国"
"自杀专卖店 / Le magasin des suicides","2012","法国 / 加拿大 / 比利时"
"盒子怪 / The Boxtrolls","2014","美国"
"科学怪狗 / Frankenweenie","2012","美国"
"十万个冷笑话","2014","中国大陆"
"忍者神龟：变种时代 / Teenage Mutant Ninja Turtles","2014","美国"
"海绵宝宝历险记 / The SpongeBob SquarePants Movie","2004","美国"
"星际宝贝 / Lilo & Stitch","2002","美国"
"宝贝老板 / The Boss Baby","2017","美国"
"逗鸟外传：萌宝满天飞 / Storks","2016","美国"
"精灵旅社3：疯狂假期 / Hotel Transylvania 3: Summer Vacation","2018","美国 / 韩国"
"驯龙高手3 / How to Train Your Dragon: The Hidden World","2019","美国"
"海绵宝宝 / The SpongeBob Movie: Sponge Out of Water","2015","美国"
"精灵旅社2 / Hotel Transylvania 2","2015","美国 / 加拿大"
"头脑特工队 / Inside Out","2015","美国"
"赛车总动员3：极速挑战 / Cars 3","2017","美国"
"无敌破坏王 / Wreck-It Ralph","2012","美国"
"钢铁侠2 / Iron Man 2","2010","美国"
"哥斯拉 / Godzilla","2014","美国 / 日本"
"环太平洋 / Pacific Rim","2013","美国"
"蝙蝠侠大战超人：正义黎明 / Batman v Superman: Dawn of Justice","2016","美国"
"哈尔的移动城堡 / ハウルの動く城","2004","日本"
"帕丁顿熊2 / Paddington 2","2017","英国 / 法国 / 美国"
"源代码 / Source Code","2011","美国 / 加拿大"
"疯狂原始人 / The Croods","2013","美国"
"寂静岭 / Silent Hill","2006","加拿大 / 法国 / 日本 / 美国"
"守护者联盟 / Rise of the Guardians","2012","美国"
"雪国列车 / 설국열차","2013","韩国 / 捷克"
"玩具总动员3 / Toy Story 3","2010","美国"
"爱丽丝梦游仙境 / Alice in Wonderland","2010","美国"
"机器战警 / RoboCop","1987","美国"
"快乐的大脚 / Happy Feet","2006","澳大利亚 / 美国"
"鼠来宝4：萌在囧途 / Alvin and the Chipmunks: The Road Chip","2015","美国"
"鼠来宝3 / Alvin and the Chipmunks: Chip-Wrecked","2011","美国"
"鼠来宝2：明星俱乐部 / Alvin and the Chipmunks: The Squeakquel","2009","美国"
"闪电狗 / Bolt","2008","美国"
"鼠来宝 / Alvin and the Chipmunks","2007","美国"
"魔法保姆麦克菲 / Nanny McPhee","2005","美国 / 英国 / 法国"
"回魂夜","1995","中国香港"
"加菲猫 / Garfield","2004","美国"
"闪光少女","2017","中国大陆"
"精灵鼠小弟 / Stuart Little","1999","美国 / 德国"
"狮子王 / The Lion King","1994","美国"
"厨子戏子痞子","2013","中国大陆"
"美女与野兽 / Beauty and the Beast","1991","美国"
"天降美食 / Cloudy with a Chance of Meatballs","2009","美国"
"唐人街探案","2015","中国大陆"
"通灵男孩诺曼 / ParaNorman","2012","美国"
"兰戈 / Rango","2011","美国"
"小鬼当家 / Home Alone","1990","美国"
"鬼妈妈 / Coraline","2009","美国"
"我和我的家乡","2020","中国大陆"
"姜子牙","2020","中国大陆"
"少年派的奇幻漂流 / Life of Pi","2012","美国 / 中国台湾 / 英国 / 加拿大"
"指环王3：王者无敌 / The Lord of the Rings: The Return of the King","2003","美国 / 新西兰"
"指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers","2002","美国 / 新西兰"
"指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring","2001","新西兰 / 美国 / 英国"
"加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl","2003","美国"
"丁丁历险记 / The Adventures of Tintin: The Secret of the Unicorn","2011","美国 / 新西兰 / 英国 / 法国 / 澳大利亚"
"爱宠大机密 / The Secret Life of Pets","2016","美国"
"奇幻森林 / The Jungle Book","2016","英国 / 美国"
"哥斯拉 / Godzilla","1998","美国 / 日本"
"香肠派对 / Sausage Party","2016","美国"
"精灵旅社 / Hotel Transylvania","2012","美国"
"饥饿游戏3：嘲笑鸟(下) / The Hunger Games: Mockingjay - Part 2","2015","美国"
"饥饿游戏3：嘲笑鸟(上) / The Hunger Games: Mockingjay - Part 1","2014","美国"
"饥饿游戏 / The Hunger Games","2012","美国"
"饥饿游戏2：星火燎原 / The Hunger Games: Catching Fire","2013","美国"
"千与千寻 / 千と千尋の神隠し","2001","日本"
"三傻大闹宝莱坞 / 3 Idiots","2009","印度"
"小萝莉的猴神大叔 / Bajrangi Bhaijaan","2015","印度"
"起跑线 / Hindi Medium","2017","印度"
"神秘巨星 / Secret Superstar","2017","印度"
"摔跤吧！爸爸 / Dangal","2016","印度"
"少林足球","2001","中国香港"
"功夫","2004","中国大陆 / 中国香港"
"第九区 / District 9","2009","美国 / 新西兰 / 加拿大 / 南非"
"查理和巧克力工厂 / Charlie and the Chocolate Factory","2005","美国 / 英国 / 澳大利亚"
"飞屋环游记 / Up","2009","美国"
"哪吒之魔童降世","2019","中国大陆"
"超凡蜘蛛侠 / The Amazing Spider-Man","2012","美国"
"阿凡达 / Avatar","2009","美国"
"猩球崛起2：黎明之战 / Dawn of the Planet of the Apes","2014","美国"
"猩球崛起 / Rise of the Planet of the Apes","2011","美国"
"海洋奇缘 / Moana","2016","美国"
"冰雪奇缘 / Frozen","2013","美国"
"盗梦空间 / Inception","2010","美国 / 英国"
"赛车总动员 / Cars","2006","美国"
"我是传奇 / I Am Legend","2007","美国"
"超能陆战队 / Big Hero 6","2014","美国"
"后天 / The Day After Tomorrow","2004","美国"
"龙猫 / となりのトトロ","1988","日本"
"狮子王 / The Lion King","2019","美国"
"欢乐好声音 / Sing","2016","美国"
"小黄人大眼萌 / Minions","2015","美国"
"神偷奶爸3 / Despicable Me 3","2017","美国"
"神偷奶爸 / Despicable Me","2010","美国 / 法国"
"神偷奶爸2 / Despicable Me 2","2013","美国 / 法国 / 日本"
"变身特工 / Spies in Disguise","2019","美国"
"冰川时代5：星际碰撞 / Ice Age: Collision Course","2016","美国"
"冰川时代4 / Ice Age: Continental Drift","2012","美国"
"里约大冒险 / Rio","2011","美国"
"冰川时代3 / Ice Age: Dawn of the Dinosaurs","2009","美国"
"冰川时代2 / Ice Age: The Meltdown","2006","美国"
"机器人历险记 / Robots","2005","美国"
"冰川时代 / Ice Age","2002","美国"
"里约大冒险2 / Rio 2","2014","美国"
"马达加斯加2：逃往非洲 / Madagascar: Escape 2 Africa","2008","美国"
"马达加斯加 / Madagascar","2005","美国 / 马达加斯加"
"马达加斯加3 / Madagascar 3: Europe's Most Wanted","2012","美国"
"驯龙高手 / How to Train Your Dragon","2010","美国"
"驯龙高手2 / How to Train Your Dragon 2","2014","美国"
"极速蜗牛 / Turbo","2013","美国"
"天才眼镜狗 / Mr. Peabody & Sherman","2014","美国"
"马达加斯加的企鹅 / Penguins of Madagascar","2014","美国"
"疯狂外星人 / Home","2015","美国"
"愤怒的小鸟 / The Angry Birds Movie","2016","芬兰 / 美国"
"博物馆奇妙夜2 / Night at the Museum: Battle of the Smithsonian","2009","美国 / 加拿大"
"博物馆奇妙夜3 / Night at the Museum: Secret of the Tomb","2014","美国 / 英国"
"移动迷宫2 / Maze Runner: The Scorch Trials","2015","美国"
"移动迷宫 / The Maze Runner","2014","美国 / 英国"
"像素大战 / Pixels","2015","美国 / 中国大陆"
"功夫熊猫3 / Kung Fu Panda 3","2016","美国 / 中国大陆"
"功夫熊猫2 / Kung Fu Panda 2","2011","美国"
"功夫熊猫 / Kung Fu Panda","2008","美国"
"蓝精灵：寻找神秘村 / Smurfs: The Lost Village","2017","美国"
"蓝精灵2 / The Smurfs 2","2013","美国"
"蓝精灵 / The Smurfs","2011","美国 / 比利时"
"哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2","2011","美国 / 英国"
"哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1","2010","英国 / 美国"
"哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince","2009","英国 / 美国"
"哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix","2007","英国 / 美国"
"哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire","2005","英国 / 美国"
"哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban","2004","英国 / 美国"
"哈利·波特与密室 / Harry Potter and the Chamber of Secrets","2002","英国 / 美国"
"哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone","2001","美国 / 英国"
"辛普森一家 第二十季 / The Simpsons Season 20","2008","美国"
"辛普森一家 第十九季 / The Simpsons Season 19","2007","美国"
"辛普森一家 第十八季 / The Simpsons Season 18","2007","美国"
"辛普森一家 第十七季 / The Simpsons Season 17","2005","美国"
"辛普森一家 第十五季 / The Simpsons Season 15","2003","美国"
"辛普森一家 第十四季 / The Simpsons Season 14","2002","美国"
"辛普森一家 第十三季 / The Simpsons Season 13","2001","美国"
"辛普森一家 第十二季 / The Simpsons Season 12","2000","美国"
"辛普森一家 第十一季 / The Simpsons Season 11","1999","美国"
"辛普森一家 第十季 / The Simpsons Season 10","1998","美国"
"辛普森一家 第九季 / The Simpsons Season 9","1997","美国"
"辛普森一家 第八季 / The Simpsons Season 8","1996","美国"
"辛普森一家 第七季 / The Simpsons Season 7","1995","美国"
"辛普森一家 第六季 / The Simpsons Season 6","1994","美国"
"辛普森一家 第五季 / The Simpsons Season 5","1993","美国"
"辛普森一家 第四季 / The Simpsons Season 4","1992","美国"
"辛普森一家 第三季 / The Simpsons Season 3","1991","美国"
"辛普森一家 第二季 / The Simpsons Season 2","1990","美国"
"辛普森一家 第一季 / The Simpsons Season 1","1989","美国"
"星际迷航：下层舰员 第二季 / Star Trek: Lower Decks Season 2","2021","美国"
"外星也难民 第二季 / Solar Opposites Season 2","2021","美国"
"疯狂的外星人","2019","中国大陆"
"妖猫传","2017","中国大陆 / 日本"
"邪不压正","2018","中国大陆"
"让子弹飞","2010","中国大陆 / 中国香港"
"超人：钢铁之躯 / Man of Steel","2013","美国 / 英国"
"变形金刚 / Transformers","2007","美国"
"火星救援 / The Martian","2015","英国 / 美国 / 匈牙利 / 约旦"
"蝙蝠侠：侠影之谜 / Batman Begins","2005","美国 / 英国"
"蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises","2012","美国 / 英国"
"这个杀手不太冷 / Léon","1994","法国 / 美国"
"肖申克的救赎 / The Shawshank Redemption","1994","美国"
"蝙蝠侠：黑暗骑士 / The Dark Knight","2008","美国 / 英国"
"釜山行 / 부산행","2016","韩国"
"神奇动物：格林德沃之罪 / Fantastic Beasts: The Crimes of Grindelwald","2018","美国 / 英国"
"神奇动物在哪里 / Fantastic Beasts and Where to Find Them","2016","英国 / 美国"
"天降美食2 / Cloudy with a Chance of Meatballs 2","2013","美国"
"顽皮跳跳灯 / Luxo Jr.","1986","美国"
"玩具总动员：遗忘的时光 / Toy Story That Time Forgot","2014","美国"
"恐龙当家 / The Good Dinosaur","2015","美国"
"赛车总动员2 / Cars 2","2011","美国"
"海底总动员2：多莉去哪儿 / Finding Dory","2016","美国"
"超人总动员 / The Incredibles","2004","美国"
"玩具总动员2 / Toy Story 2","1999","美国"
"超人总动员2 / Incredibles 2","2018","美国"
"怪兽大学 / Monsters University","2013","美国"
"玩具总动员 / Toy Story","1995","美国"
"美食总动员 / Ratatouille","2007","美国"
"玩具总动员4 / Toy Story 4","2019","美国"
"怪兽电力公司 / Monsters, Inc.","2001","美国"
"机器人总动员 / WALL·E","2008","美国"
"玩具总动员之惊魂夜 / Toy Story of Terror!","2013","美国"
"言叶之庭 / 言の葉の庭","2013","日本"
"天气之子 / 天気の子","2019","日本"
"秒速5厘米 / 秒速5センチメートル","2007","日本"
"地狱客栈：试播集 / Hazbin Hotel: Pilot","2019","美国"
"极恶老大 第一季 / Helluva Boss Season 1","2019","美国"
"星蝶公主 第三季 / Star vs. the Forces of Evil Season 3","2017","美国"
"星蝶公主 第四季 / Star vs. the Forces of Evil Season 4","2019","美国"
"蜘蛛侠3 / Spider-Man 3","2007","美国"
"蜘蛛侠2 / Spider-Man 2","2004","美国"
"扎克·施奈德版正义联盟 / Zack Snyder's Justice League","2021","美国"
"你的名字。 / 君の名は。","2016","日本"
"无敌破坏王2：大闹互联网 / Ralph Breaks the Internet","2018","美国"
"普罗米修斯 / Prometheus","2012","美国 / 英国"
"异形：契约 / Alien: Covenant","2017","美国"
"异形3 / Alien³","1992","美国"
"异形2 / Aliens","1986","美国 / 英国"
"异形 / Alien","1979","英国 / 美国"
"异形4 / Alien: Resurrection","1997","美国"
"黑衣人3 / Men in Black III","2012","美国"
"黑衣人2 / Men in Black II","2002","美国"
"黑衣人：全球追缉 / Men in Black International","2019","美国"
"黑衣人 / Men in Black","1997","美国"
"银翼杀手2049 / Blade Runner 2049","2017","美国 / 英国 / 加拿大 / 西班牙"
"博物馆奇妙夜 / Night at the Museum","2006","美国 / 英国"
"侏罗纪世界2 / Jurassic World: Fallen Kingdom","2018","美国"
"侏罗纪世界 / Jurassic World","2015","美国"
"侏罗纪公园2：失落的世界 / The Lost World: Jurassic Park","1997","美国"
"侏罗纪公园 / Jurassic Park","1993","美国"
"侏罗纪公园3 / Jurassic Park III","2001","美国"
"科洛弗档案 / Cloverfield","2008","美国"
"僵尸世界大战 / World War Z","2013","美国 / 英国 / 马耳他"
"疯狂的麦克斯3 / Mad Max Beyond Thunderdome","1985","澳大利亚"
"疯狂的麦克斯2 / Mad Max 2","1981","澳大利亚"
"疯狂的麦克斯 / Mad Max","1979","澳大利亚"
"疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road","2015","澳大利亚 / 美国"
"明日边缘 / Edge of Tomorrow","2014","美国 / 加拿大"
"头号玩家 / Ready Player One","2018","美国"
"极度深寒 / Deep Rising","1998","美国 / 加拿大"
"独立日 / Independence Day","1996","美国"
"蜘蛛侠：英雄远征 / Spider-Man: Far from Home","2019","美国"
"复仇者联盟4：终局之战 / Avengers: Endgame","2019","美国"
"惊奇队长 / Captain Marvel","2019","美国 / 澳大利亚"
"蚁人2：黄蜂女现身 / Ant-Man and the Wasp","2018","美国"
"复仇者联盟3：无限战争 / Avengers: Infinity War","2018","美国"
"黑豹 / Black Panther","2018","美国 / 南非"
"雷神3：诸神黄昏 / Thor: Ragnarok","2017","美国"
"蜘蛛侠：英雄归来 / Spider-Man: Homecoming","2017","美国"
"银河护卫队2 / Guardians of the Galaxy Vol. 2","2017","美国"
"奇异博士 / Doctor Strange","2016","美国"
"美国队长3 / Captain America: Civil War","2016","美国"
"蚁人 / Ant-Man","2015","美国"
"复仇者联盟2：奥创纪元 / Avengers: Age of Ultron","2015","美国"
"银河护卫队 / Guardians of the Galaxy","2014","美国"
"美国队长2 / Captain America: The Winter Soldier","2014","美国"
"雷神2：黑暗世界 / Thor: The Dark World","2013","美国"
"复仇者联盟 / The Avengers","2012","美国"
"美国队长 / Captain America: The First Avenger","2011","美国"
"雷神 / Thor","2011","美国"
"无敌浩克 / The Incredible Hulk","2008","美国"
"钢铁侠 / Iron Man","2008","美国"
"毒液：致命守护者 / Venom","2018","美国 / 中国大陆"
"守望者 / Watchmen","2009","美国"
"疯狂动物城 / Zootopia","2016","美国"
